 * Serving Flask app "server.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://130.113.68.111:8000/ (Press CTRL+C to quit)
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=174 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=175 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=176 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=177 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=178 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=179 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=180 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=181 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=182 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=183 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=184 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=185 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=186 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=187 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=188 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=189 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=190 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=191 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=192 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=193 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:45] "GET /sendData?numData=1&type1=EC&id1=02&value1=194 HTTP/1.1" 200 -
